trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate
56,0,56,0,115.1139428,116.1141065,116.1141065,up,0,1.0065145,1,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
57,0,57,0,117.1472658,118.1470696,118.1470696,up,0,0.6138887,-2,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
58,0,58,0,118.7804444,119.7805009,119.7805009,up,1,1.0068416,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
59,0,59,0,120.8137144,121.8136861,121.8136861,down,0,0.8259201,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
60,0,60,0,122.6635783,123.663584,123.663584,down,0,0.847555,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
61,0,61,0,124.5302035,125.5302572,125.5302572,down,0,0.6535032,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
62,0,62,0,126.2133867,127.2133023,127.2133023,up,0,0.8439149,-3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
63,0,63,0,128.0800783,129.080037,129.080037,down,1,0.6347501,2,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
64,0,64,0,129.7465849,130.7465697,130.7465697,up,1,0.5263575,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
65,0,65,0,131.2963483,132.296382,132.296382,down,1,0.5031191,-5,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
66,0,66,0,132.8296932,133.8295676,133.8295676,down,1,0.5585463,4,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
67,0,67,0,134.4129319,135.4130125,135.4130125,down,1,0.4999156,4,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
